Date,Team,Acquired,Relinquished,Notes
2011-03-02,Cavaliers,,Semih Erden,Groin
2011-03-02,Hawks,,Josh Smith,Knee
2011-03-03,Celtics,,Glen Davis,Knee
2011-03-03,Jazz,,Derrick Favors,Ankle
2011-03-03,Thunder,,Nate Robinson,Knee
2011-03-04,Bucks,,Ersan Ilyasova,Head
2011-03-04,Bucks,,Luc Mbah a Moute,Stomach
2011-03-04,Cavaliers,,Semih Erden,Adductor
2011-03-04,Celtics,,Glen Davis,Knee
2011-03-04,Hornets,,Trevor Ariza,Ankle
2011-03-04,Timberwolves,,Sebastian Telfair,Ankle
2011-03-04,Timberwolves,,Wes Johnson,Gut
2011-03-05,Bobcats,,Stephen Jackson,Hamstring
2011-03-05,Kings,,Hassan Whiteside,Knee
2011-03-05,Kings,,Omri Casspi,Back
2011-03-05,Timberwolves,,Wes Johnson,Ankle
2011-03-06,Bucks,,Ersan Ilyasova,Head
2011-03-06,Celtics,,Glen Davis,Knee
2011-03-06,Celtics,,Von Wafer,Calf
2011-03-06,Hornets,,Trevor Ariza,Groin
2011-03-06,Wizards,,Rashard Lewis,Knee
2011-03-07,Hornets,,Chris Paul,Head
2011-03-07,Hornets,,Trevor Ariza,Groin
2011-03-07,Jazz,,Francisco Elson,Ankle
2011-03-07,Jazz,,Kyrylo Fesenko,Back
2011-03-07,Magic,,Chris Duhon,Ankle
2011-03-07,Suns,,Channing Frye,Shoulder
2011-03-08,Bucks,,Ersan Ilyasova,Head
2011-03-08,Cavaliers,,Luke Harangody,Hip
2011-03-08,Wizards,,Cartier Martin,Knee
2011-03-09,Bobcats,,Joel Przybilla,Knee
2011-03-09,Bobcats,,Matt Carroll,Ankle
2011-03-09,Bucks,,Ersan Ilyasova,Head
2011-03-09,Celtics,,Glen Davis,Knee
2011-03-09,Celtics,,Von Wafer,Calf
2011-03-09,Jazz,,Andrei Kirilenko,Back
2011-03-09,Jazz,,Paul Millsap,Knee
2011-03-09,Kings,,Beno Udrih,Ankle
2011-03-09,Raptors,,Alex Ajinca,Knee
2011-03-11,Celtics,,Glen Davis,Knee tendons
